Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4607,0,0,0,0,21,0,0,0,71,83,0,0,0,0
DDoS_HTTP,0,8957,0,0,0,0,0,0,0,0,0,0,0,279,392
DDoS_ICMP,0,0,13500,0,0,1,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,13,0,0,0,0,100,0,0,0,21,12,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,10,0,0,0,0,0,0,8323,0,0,1018,754,1,2
Port_Scanning,91,0,0,0,0,26,0,0,0,3900,45,0,0,0,0
Ransomware,97,0,0,0,0,11,0,0,0,40,1778,0,0,0,0
SQL_injection,0,12,0,0,0,0,0,0,935,0,0,8442,676,1,5
Uploading,0,16,0,0,0,0,0,0,773,0,0,733,5747,0,4
Vulnerability_scanner,0,247,0,0,0,0,0,0,0,0,0,0,0,9600,93
XSS,0,412,0,0,0,0,0,0,0,0,0,0,0,91,2532
