Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4551,0,0,0,0,67,1,0,0,87,75,0,0,1,0
DDoS_HTTP,0,8211,0,0,0,0,0,0,0,0,0,0,0,368,1049
DDoS_ICMP,0,0,13499,0,0,2,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,11,0,0,0,0,107,0,0,0,22,6,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,438,0,0,0,1,0,0,8166,0,0,1047,454,0,2
Port_Scanning,37,0,0,2,0,90,2,0,0,3891,38,0,1,1,0
Ransomware,57,0,0,0,0,44,0,0,0,54,1771,0,0,0,0
SQL_injection,0,706,0,0,0,0,2,0,792,0,0,8124,440,2,5
Uploading,0,605,0,0,0,0,5,0,600,0,0,611,5451,0,1
Vulnerability_scanner,0,169,0,0,0,0,0,0,0,0,0,0,0,9556,215
XSS,0,225,0,0,0,0,0,0,0,0,0,0,0,62,2748
