Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4522,0,0,0,0,108,0,0,0,62,90,0,0,0,0
DDoS_HTTP,0,8423,0,0,0,0,0,0,0,0,0,0,0,283,922
DDoS_ICMP,0,0,13469,0,0,32,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,3,0,0,0,0,112,0,0,0,22,9,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,5,0,0,0,0,0,0,8346,0,0,970,785,0,2
Port_Scanning,92,0,0,0,0,220,0,0,0,3628,122,0,0,0,0
Ransomware,56,0,0,0,0,51,0,0,0,38,1781,0,0,0,0
SQL_injection,0,7,0,0,0,0,0,0,973,0,0,8396,692,2,1
Uploading,0,10,0,0,0,0,0,0,737,0,0,686,5838,1,1
Vulnerability_scanner,0,245,0,0,0,0,0,0,0,0,0,0,0,9573,122
XSS,0,358,0,0,0,0,0,0,0,0,0,0,0,108,2569
