Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4490,0,0,257,1,0,0,0,0,0,34,0,0,0,0
DDoS_HTTP,0,3292,0,0,0,0,0,0,3547,0,0,2211,288,145,145
DDoS_ICMP,0,0,13388,0,92,21,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,23,47,9,61,0,0,0,6,0,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,2,0,6,86,0,2,0,272676,0,1,3,0,0,0,0
Password,0,0,0,0,0,0,0,0,8707,0,0,52,1349,0,0
Port_Scanning,0,0,0,4062,0,0,0,0,0,0,0,0,0,0,0
Ransomware,59,0,0,155,0,0,0,0,0,1,1711,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,7387,0,0,1866,818,0,0
Uploading,0,0,0,0,0,0,0,0,4267,0,0,124,2882,0,0
Vulnerability_scanner,0,18,0,0,0,0,0,0,1354,0,0,79,9,8428,52
XSS,0,5,0,0,0,0,0,0,2143,0,0,207,35,513,132
