Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4523,0,0,0,0,107,0,0,0,63,89,0,0,0,0
DDoS_HTTP,0,8409,0,0,0,0,0,0,0,0,0,0,0,293,926
DDoS_ICMP,0,0,13470,0,0,31,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,3,0,0,0,0,112,0,0,0,22,9,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,5,0,0,0,0,0,0,8356,0,0,971,774,0,2
Port_Scanning,91,0,0,0,0,218,0,0,0,3629,124,0,0,0,0
Ransomware,55,0,0,0,0,51,0,0,0,39,1781,0,0,0,0
SQL_injection,0,10,0,0,0,0,0,0,963,0,0,8391,705,1,1
Uploading,0,10,0,0,0,0,0,0,735,0,0,677,5849,1,1
Vulnerability_scanner,0,231,0,0,0,0,0,0,0,0,0,0,0,9585,124
XSS,0,359,0,0,0,0,0,0,0,0,0,0,0,105,2571
