Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4631,0,0,0,1,0,0,0,0,81,69,0,0,0,0
DDoS_HTTP,0,9331,0,0,0,0,0,0,0,0,0,0,0,24,273
DDoS_ICMP,0,0,13447,0,4,50,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,18,0,32,0,0,66,0,0,0,24,6,0,0,0,0
MITM,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,8265,0,0,946,897,0,0
Port_Scanning,0,0,0,0,0,0,0,0,0,4062,0,0,0,0,0
Ransomware,121,0,0,0,0,0,0,0,0,46,1759,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,846,0,0,8400,825,0,0
Uploading,0,1,0,0,0,0,0,0,371,0,0,396,6505,0,0
Vulnerability_scanner,0,302,0,0,0,0,0,0,0,0,0,0,0,9530,108
XSS,0,427,0,0,0,0,0,0,0,0,0,0,0,10,2598
