Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4489,0,0,0,1,135,0,0,0,75,82,0,0,0,0
DDoS_HTTP,0,9196,0,0,0,0,0,0,0,0,0,0,0,51,381
DDoS_ICMP,0,0,13458,0,1,42,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,1,0,3,0,0,114,0,0,0,22,6,0,0,0,0
MITM,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,9010,0,0,205,893,0,0
Port_Scanning,0,0,0,0,0,114,0,0,0,3947,1,0,0,0,0
Ransomware,21,0,0,0,0,81,0,0,0,43,1781,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,1509,0,0,7746,816,0,0
Uploading,0,0,0,0,0,0,0,0,669,0,0,105,6499,0,0
Vulnerability_scanner,0,250,0,0,0,0,0,0,0,0,0,0,0,9502,188
XSS,0,291,0,0,0,0,0,0,0,0,0,0,0,5,2739
