Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4494,0,0,0,0,25,75,0,0,148,37,0,0,2,1
DDoS_HTTP,0,8422,0,0,0,13,0,0,0,0,0,0,0,175,1018
DDoS_ICMP,0,0,13495,0,0,6,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,9892,0,0,117,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,22736,0,1865,0,0,0,0,0,0,0,0
Fingerprinting,2,0,16,0,0,85,10,0,0,25,8,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,97,0,0,0,526,144,0,8044,0,0,811,486,0,0
Port_Scanning,0,0,0,1,0,1,12,0,0,4044,4,0,0,0,0
Ransomware,39,0,0,0,0,9,41,0,0,92,1745,0,0,0,0
SQL_injection,0,244,0,0,0,371,117,0,823,0,0,8090,424,0,2
Uploading,0,126,0,0,0,237,202,0,589,0,0,557,5561,0,1
Vulnerability_scanner,0,199,0,0,0,0,0,0,0,0,0,0,0,9553,188
XSS,0,225,0,0,0,1,0,0,0,0,0,0,0,38,2771
