Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4513,0,0,0,0,102,0,0,0,74,93,0,0,0,0
DDoS_HTTP,0,8498,0,0,0,0,0,0,0,0,0,0,0,181,949
DDoS_ICMP,0,0,13466,0,0,35,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,3,0,0,0,0,112,0,0,0,22,9,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,2,0,0,0,0,0,0,8486,0,0,1003,617,0,0
Port_Scanning,10,0,0,0,0,173,0,0,0,3863,16,0,0,0,0
Ransomware,49,0,0,0,0,52,0,0,0,40,1785,0,0,0,0
SQL_injection,0,4,0,0,0,0,0,0,1052,0,0,8452,562,0,1
Uploading,0,9,0,0,0,0,0,0,755,0,0,722,5787,0,0
Vulnerability_scanner,0,264,0,0,0,0,0,0,0,0,0,0,0,9547,129
XSS,0,362,0,0,0,0,0,0,0,0,0,0,0,52,2621
