Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4606,0,0,0,0,18,0,0,0,82,76,0,0,0,0
DDoS_HTTP,0,9017,0,0,0,0,0,0,0,0,0,0,0,168,443
DDoS_ICMP,0,0,13500,0,0,0,0,0,0,1,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,11,0,1,0,0,100,0,0,0,23,11,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,9,0,0,0,0,0,0,8426,0,0,1049,623,0,1
Port_Scanning,3,0,0,0,0,1,0,0,0,4056,2,0,0,0,0
Ransomware,100,0,1,0,0,11,0,0,0,45,1769,0,0,0,0
SQL_injection,0,4,0,0,0,0,0,0,1028,0,0,8501,536,1,1
Uploading,0,15,0,0,0,0,0,0,788,0,0,730,5738,0,2
Vulnerability_scanner,0,279,0,0,0,0,0,0,0,0,0,0,0,9562,99
XSS,0,410,0,0,0,0,0,0,0,0,0,0,0,66,2559
