Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4514,0,0,0,0,102,0,0,0,73,93,0,0,0,0
DDoS_HTTP,0,8508,0,0,0,0,0,0,0,0,0,0,0,175,945
DDoS_ICMP,0,0,13465,0,0,36,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,3,0,0,0,0,112,0,0,0,22,9,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,2,0,0,0,0,0,0,8479,0,0,1010,617,0,0
Port_Scanning,10,0,0,0,0,167,0,0,0,3870,15,0,0,0,0
Ransomware,48,0,0,0,0,52,0,0,0,42,1784,0,0,0,0
SQL_injection,0,3,0,0,0,0,0,0,1059,0,0,8442,566,0,1
Uploading,0,9,0,0,0,0,0,0,771,0,0,709,5784,0,0
Vulnerability_scanner,0,262,0,0,0,0,0,0,0,0,0,0,0,9544,134
XSS,0,362,0,0,0,0,0,0,0,0,0,0,0,54,2619
