Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4426,0,0,0,0,1,181,0,0,159,15,0,0,0,0
DDoS_HTTP,0,2506,0,0,0,0,0,0,0,0,0,0,0,100,7022
DDoS_ICMP,0,0,13401,0,0,100,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,5816,0,0,0,0,0,4193,0,0,0,0,0
DDoS_UDP,0,0,0,0,23434,11,1150,0,0,0,6,0,0,0,0
Fingerprinting,0,0,0,0,0,99,24,0,0,23,0,0,0,0,0
MITM,0,4,0,0,0,5,28,0,25,0,0,0,14,0,0
Normal,8,0,0,0,0,0,1,272549,0,0,218,0,0,0,0
Password,0,1,0,0,0,0,0,0,3092,0,0,5817,1198,0,0
Port_Scanning,0,0,0,0,0,0,73,0,0,3989,0,0,0,0,0
Ransomware,891,0,0,0,0,1,103,0,0,110,821,0,0,0,0
SQL_injection,0,2,0,0,0,0,0,0,3116,0,0,6137,816,0,0
Uploading,0,11,0,0,0,0,0,0,1474,0,0,2782,3006,0,0
Vulnerability_scanner,0,20,0,0,0,0,0,0,0,0,0,0,0,3752,6168
XSS,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3030
