Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4530,0,1,82,169,0,0,0,0,0,0,0,0,0,0
DDoS_HTTP,0,8797,0,0,0,0,0,0,0,0,0,0,0,6,825
DDoS_ICMP,0,0,13501,0,0,0,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,22316,0,2285,0,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,98,23,24,0,0,0,0,0,1,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,2099,0,0,7785,224,0,0
Port_Scanning,0,0,0,2027,2035,0,0,0,0,0,0,0,0,0,0
Ransomware,65,0,0,46,103,0,0,0,0,0,1712,0,0,0,0
SQL_injection,0,1,0,0,0,0,0,0,1366,0,0,8103,0,601,0
Uploading,0,1,0,0,0,0,0,0,384,0,0,4787,2101,0,0
Vulnerability_scanner,0,4006,0,0,0,0,1,0,0,0,0,0,0,3955,1978
XSS,0,1883,0,0,0,0,0,0,0,0,0,0,0,2,1150
