Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4462,0,0,237,0,1,0,0,0,14,68,0,0,0,0
DDoS_HTTP,0,966,0,0,0,0,0,0,0,0,0,0,0,5141,3521
DDoS_ICMP,0,0,13481,0,0,20,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,9304,0,0,0,0,0,705,0,0,0,0,0
DDoS_UDP,0,0,0,0,24051,550,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,28,47,0,70,0,0,0,0,1,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,1,0,0,0,272774,0,0,0,0,0,0,1
Password,0,2635,0,893,0,0,0,0,5167,0,0,1352,61,0,0
Port_Scanning,0,0,0,3737,0,0,0,0,0,325,0,0,0,0,0
Ransomware,7,0,0,141,0,0,0,0,0,9,1769,0,0,0,0
SQL_injection,0,2631,0,816,0,0,0,0,3454,0,0,2311,179,680,0
Uploading,0,1365,0,1413,0,0,0,0,1725,0,0,629,1993,148,0
Vulnerability_scanner,1,68,0,0,0,0,0,0,0,0,0,0,0,8388,1483
XSS,0,131,0,0,0,0,0,0,0,0,0,0,0,632,2272
