Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,2297,0,0,169,1,3,0,0,0,81,2231,0,0,0,0
DDoS_HTTP,0,8,0,0,0,0,0,0,0,0,0,0,0,9620,0
DDoS_ICMP,0,0,13314,0,1,186,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,5816,0,0,0,0,0,4193,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,0,24,0,99,0,0,0,23,0,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,1983,0,0,0,8125,0,0
Port_Scanning,0,0,0,2035,0,0,0,0,0,2027,0,0,0,0,0
Ransomware,1,0,0,103,0,1,0,0,0,46,1775,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,1662,0,0,0,8409,0,0
Uploading,0,0,0,0,0,0,0,0,1795,0,0,0,5478,0,0
Vulnerability_scanner,0,2,0,0,0,0,0,1,0,0,0,0,1,9936,0
XSS,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,83
