Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4478,0,0,169,0,1,0,0,0,91,43,0,0,0,0
DDoS_HTTP,0,3294,0,0,0,0,0,0,0,0,0,0,0,6189,145
DDoS_ICMP,0,0,13422,0,0,79,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,5816,0,0,0,0,0,4193,0,0,0,0,0
DDoS_UDP,0,0,52,0,24539,10,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,0,24,0,98,0,0,0,24,0,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,1,0,0,272775,0,0,0,0,0,0,0
Password,0,1,0,0,0,0,0,0,10055,0,0,0,52,0,0
Port_Scanning,0,0,0,2035,0,0,0,0,0,2027,0,0,0,0,0
Ransomware,56,0,0,103,0,0,0,0,0,55,1712,0,0,0,0
SQL_injection,0,2,0,0,0,0,0,0,8187,0,0,602,177,1103,0
Uploading,0,58,0,0,0,0,0,0,5140,0,0,0,1693,382,0
Vulnerability_scanner,0,5,0,0,0,0,1,0,1,0,0,0,0,9868,65
XSS,0,4,0,0,0,0,0,0,0,0,0,0,0,2899,132
