Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4527,0,0,83,0,0,0,0,0,172,0,0,0,0,0
DDoS_HTTP,0,8992,0,0,0,0,0,0,0,0,0,0,0,143,493
DDoS_ICMP,0,0,13224,0,0,0,0,0,0,277,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,2285,0,0,0,0,22316,0,0,0,0,0
Fingerprinting,0,0,0,23,0,0,0,0,0,122,0,0,1,0,0
MITM,1,0,0,0,0,0,67,0,0,0,4,0,4,0,0
Normal,0,0,0,1,0,0,0,272768,0,0,0,0,6,0,1
Password,0,0,0,0,0,0,0,0,1306,0,0,7394,1169,239,0
Port_Scanning,0,0,0,2027,0,0,0,0,0,2035,0,0,0,0,0
Ransomware,63,0,0,46,0,0,0,0,0,105,1711,0,1,0,0
SQL_injection,0,0,0,0,0,0,0,0,0,0,0,9055,1016,0,0
Uploading,0,0,0,0,0,0,0,0,136,0,0,3498,3639,0,0
Vulnerability_scanner,0,1232,0,0,0,0,0,0,0,0,0,0,0,8420,288
XSS,0,1818,0,0,0,0,0,0,0,0,0,0,0,234,983
