Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4453,0,0,0,0,1,169,0,0,159,0,0,0,0,0
DDoS_HTTP,0,5194,0,0,0,0,0,0,0,0,0,0,0,5,4429
DDoS_ICMP,0,0,13414,0,0,87,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,5801,0,0,15,0,0,4193,0,0,0,0,0
DDoS_UDP,0,0,0,0,24550,51,0,0,0,0,0,0,0,0,0
Fingerprinting,1,0,0,0,0,98,24,0,0,23,0,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,1,272766,0,0,0,0,9,0,0
Password,0,0,0,0,0,0,0,0,8173,0,0,1021,914,0,0
Port_Scanning,0,0,0,0,0,0,6,0,0,4056,0,0,0,0,0
Ransomware,2,0,0,0,0,0,103,0,0,110,1711,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,6308,0,0,2905,858,0,0
Uploading,0,34,0,0,0,0,0,0,3190,0,0,550,3499,0,0
Vulnerability_scanner,0,83,0,0,0,0,1,0,1,0,0,0,0,8331,1524
XSS,0,188,0,0,0,0,0,0,0,0,0,0,0,3,2844
