Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4700,0,0,81,1,0,0,0,0,0,0,0,0,0,0
DDoS_HTTP,0,9171,0,0,0,0,0,0,0,0,0,0,0,5,452
DDoS_ICMP,0,0,13463,0,5,33,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,24,0,25,23,5,68,0,0,0,0,0,0,0,0,1
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,2,0,3,0,0,0,272766,0,0,0,0,0,4,1
Password,0,0,0,0,0,0,0,0,1768,0,0,7446,894,0,0
Port_Scanning,5,0,0,2027,0,0,0,0,0,2030,0,0,0,0,0
Ransomware,168,0,0,46,0,0,0,0,0,0,1711,0,0,0,1
SQL_injection,0,0,0,0,0,0,0,0,0,0,0,9255,816,0,0
Uploading,0,0,0,0,0,0,0,0,136,0,0,3622,3515,0,0
Vulnerability_scanner,0,1288,0,0,0,0,0,0,1,0,0,0,0,8392,259
XSS,0,1942,0,0,0,0,0,0,0,0,0,0,0,4,1089
