Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4438,59,0,0,0,0,0,27,21,70,4,13,135,11,4
DDoS_HTTP,66,6962,0,0,0,8,0,508,463,0,32,785,554,85,165
DDoS_ICMP,0,0,13496,0,0,4,0,0,0,0,1,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,1,9,1,0,0,97,0,1,5,21,0,2,7,0,2
MITM,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0
Normal,210,4136,0,0,0,32,0,247472,7607,0,155,7632,3792,440,1300
Password,21,359,0,0,0,4,0,1030,7845,0,17,427,291,35,79
Port_Scanning,7,0,0,0,0,0,0,0,0,3894,4,0,157,0,0
Ransomware,17,37,0,0,0,1,0,8,15,40,1705,15,86,2,0
SQL_injection,12,816,0,0,0,4,0,995,437,0,12,7418,257,30,90
Uploading,56,517,0,0,0,5,0,536,360,514,42,353,4785,39,66
Vulnerability_scanner,1,133,0,0,0,0,0,107,75,0,5,139,32,9431,17
XSS,7,105,0,0,0,2,0,272,127,0,5,116,113,13,2275
