Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,0,224,0,0,0,0,0,1,0,0,0,0,240,4315,2
DDoS_HTTP,0,42,0,0,0,0,0,0,0,0,0,63,2,466,9055
DDoS_ICMP,0,0,13490,0,0,7,0,0,0,0,0,0,0,0,4
DDoS_TCP,0,373,0,4059,0,0,0,0,0,0,0,0,4001,1574,2
DDoS_UDP,0,0,0,0,24587,0,0,1,0,0,0,0,0,0,13
Fingerprinting,0,25,22,0,0,74,0,0,0,0,0,0,22,0,3
MITM,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0
Normal,0,10534,0,0,0,0,0,192622,11241,0,0,0,0,53847,4532
Password,0,889,0,0,0,0,0,3,562,0,0,279,15,3783,4577
Port_Scanning,0,652,0,0,0,0,0,0,0,41,0,0,1936,1433,0
Ransomware,0,113,0,0,0,0,0,1,0,0,0,0,107,1705,0
SQL_injection,0,1014,0,0,0,0,0,0,37,0,0,2248,10,3188,3574
Uploading,0,1256,0,0,0,0,0,0,269,0,0,3,1867,627,3251
Vulnerability_scanner,0,3,0,0,0,0,0,0,5,0,0,40,31,9139,722
XSS,0,10,0,0,0,0,0,83,0,0,0,80,0,31,2831
