Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4576,0,0,0,1,47,0,0,0,101,57,0,0,0,0
DDoS_HTTP,0,9119,0,0,0,0,0,0,0,0,0,0,0,56,453
DDoS_ICMP,0,0,13429,0,1,71,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,10,0,0,0,0,108,0,0,0,24,4,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,806,0,0,0,0,0,0,7910,0,0,1260,132,0,0
Port_Scanning,1,0,0,0,0,0,0,0,0,4061,0,0,0,0,0
Ransomware,73,0,0,0,0,37,0,0,0,57,1759,0,0,0,0
SQL_injection,0,1253,0,0,0,0,0,0,496,0,0,8219,103,0,0
Uploading,0,1219,0,0,0,0,0,0,226,0,0,548,5280,0,0
Vulnerability_scanner,0,223,0,0,0,0,0,0,0,0,0,0,0,9484,233
XSS,0,243,0,0,0,0,0,0,0,0,0,0,0,11,2781
